ground,vehicle,count,prefix
dry,bone,174,a
dry,desert,169,a
dry,dust,135,
dry,sand,104,
dry,tinder,81,
dry,cotton,56,
dry,paper,47,
dry,ash,40,
dry,parchment,37,
dry,sandpaper,36,
dry,leaf,30,
dry,sawdust,25,
dry,chip,24,a
dry,lime-kiln,17,a
dry,stone,15,a
dry,chalk,15,
dry,stick,14,a
dry,powder,14,
dry,dirt,13,
dry,leather,12,
dry,toast,12,
dry,salt,11,
dry,wind,10,the
dry,straw,7,
dry,fish,7,a
dry,lizard skin,7,
dry,air,6,the
dry,husk,5,a
dry,hay,5,
dry,lime-basket,5,a
dry,wool,4,
dry,bark,4,
dry,cracker,4,a
dry,cardboard,4,
dry,biscuit,4,a
dry,reed,3,a
dry,wood,3,
dry,flour,3,
dry,orange,3,an
dry,kex,3,a
dry,carpet,3,a
dry,stale bread,3,
dry,mummy,3,a
dry,furnace,3,a
